date,state,cases_import,cases_new,cases_recovered
7/22/21,Terengganu,0,391,31
7/22/21,W.P. Kuala Lumpur,8,1611,1118
7/22/21,W.P. Labuan,0,24,98
7/22/21,W.P. Putrajaya,0,100,36
7/23/21,Johor,1,722,407
7/23/21,Kedah,0,937,633
7/23/21,Kelantan,0,372,178
7/23/21,Melaka,0,452,296
7/23/21,Negeri Sembilan,0,682,949
7/23/21,Pahang,9,457,230
7/23/21,Perak,0,415,430
7/23/21,Perlis,0,3,1
7/23/21,Pulau Pinang,0,530,399
7/23/21,Sabah,0,516,370
7/23/21,Sarawak,0,461,377
7/23/21,Selangor,10,7672,4303
7/23/21,Terengganu,0,229,179
7/23/21,W.P. Kuala Lumpur,12,2063,1268
7/23/21,W.P. Labuan,0,21,55
7/23/21,W.P. Putrajaya,0,41,19
7/24/21,Johor,8,804,298
7/24/21,Kedah,0,867,478
7/24/21,Kelantan,0,502,187
7/24/21,Melaka,0,631,690
7/24/21,Negeri Sembilan,0,625,715
7/24/21,Pahang,0,406,193
7/24/21,Perak,0,469,246
7/24/21,Perlis,0,7,1
7/24/21,Pulau Pinang,0,505,335
7/24/21,Sabah,0,712,365
7/24/21,Sarawak,0,261,288
7/24/21,Selangor,3,7351,4172
7/24/21,Terengganu,0,267,36
7/24/21,W.P. Kuala Lumpur,15,2406,1378
7/24/21,W.P. Labuan,0,30,84
7/24/21,W.P. Putrajaya,0,59,5
7/25/21,Johor,0,950,566
7/25/21,Kedah,0,1216,602
7/25/21,Kelantan,0,266,221
7/25/21,Melaka,0,370,273
7/25/21,Negeri Sembilan,0,513,615
7/25/21,Pahang,0,424,198
7/25/21,Perak,0,609,214
7/25/21,Perlis,0,10,0
7/25/21,Pulau Pinang,0,573,40
7/25/21,Sabah,0,818,537
7/25/21,Sarawak,0,407,245
7/25/21,Selangor,1,8500,4645
7/25/21,Terengganu,0,273,173
7/25/21,W.P. Kuala Lumpur,5,2045,1220
7/25/21,W.P. Labuan,0,21,60
7/25/21,W.P. Putrajaya,0,50,74
